"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid","US",1.17675557184268,500.715304347826,1.21470806259413,773.3,0.7,1,20
"CFA-EpiAutoGP","US",1.25395479281433,519.299427278261,1.2515965717827,787.14835,0.5,0.8,20
"CFA_Pyrenew-Pyrenew_HE_COVID","US",0.496299370897569,195.101688509317,0.415518698753981,251.357142857143,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_COVID","US",1.38091439547368,549.545397515528,1.42725769104608,863.071428571429,0.285714285714286,0.857142857142857,10
"CMU-TimeSeries","US",1.0721909389229,459.005690814105,0.999118215176725,634.750434149688,0.7,1,20
"CovidHub-baseline","US",1,425.274963298431,1,633.8,0.6,1,20
"CovidHub-ensemble","US",0.935012249708151,389.160088570694,0.912167251291913,565.288915713485,0.7,1,20
"NEU_ISI-AdaptiveEnsemble","US",1.61717694014498,777.345,1.85649605891905,1326.16666666667,0.166666666666667,1,8
"OHT_JHU-nbxd","US",1.36251854056239,580.037599565217,1.63568008230121,1051.399,0.3,1,20
"UGA_flucast-INFLAenza","US",1.09360236293251,463.080874347826,1.19688059497447,766.55,0.4,1,20
"UM-DeepOutbreak","US",2.07932240910416,758.568709492378,2.28789243687713,1238.78365388889,0.5,1,16
"UMass-ar6_pooled","US",1.0753112888708,457.773054237365,1.17110711237569,746.324446150162,0.4,1,20
"UMass-gbqr","US",1.16077309339737,479.055018671964,1.20159934309657,740.829866537641,0.3,1,20
