"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0,0.000480604277762112,0.000734027291532813,0.621052631578947,0.973684210526316,243
"CFA_Pyrenew-Pyrenew_E_COVID",1,0.000960418549522218,0.00152472192757436,0.514084507042254,0.97887323943662,243
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.000502112901441548,0.000763224246853406,0.573684210526316,0.978947368421053,243
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.00103027498601185,0.00161108592960365,0.573426573426573,0.986013986013986,244
"CMU-TimeSeries",0,0.000600245289925863,0.000912268245339683,0.474489795918367,0.943877551020408,245
"CMU-TimeSeries",1,0.000915753529076267,0.00139076443496303,0.435374149659864,0.938775510204082,245
"CMU-TimeSeries",2,0.00117853735474537,0.0018727636459049,0.408163265306122,0.918367346938776,245
"CMU-TimeSeries",3,0.00140457006584464,0.00221863693159674,0.387755102040816,0.979591836734694,245
"CovidHub-baseline",0,0.000685232285894837,0.00097,0.74,0.995,250
"CovidHub-baseline",1,0.00106808056911279,0.00151333333333333,0.74,1,250
"CovidHub-baseline",2,0.00139781819869757,0.002065,0.71,1,250
"CovidHub-baseline",3,0.00165005716018265,0.002508,0.7,1,250
"CovidHub-ensemble",0,0.00051944058155166,0.000776910130816862,0.571428571428571,0.974489795918367,250
"CovidHub-ensemble",1,0.000773904372834126,0.00119849637030465,0.489795918367347,0.972789115646258,250
"CovidHub-ensemble",2,0.000959019637412986,0.00153317643585841,0.479591836734694,0.948979591836735,245
"CovidHub-ensemble",3,0.00109379698542102,0.00173438235200097,0.408163265306122,0.979591836734694,245
"UGA_flucast-INFLAenza",0,0.000555238816553883,0.000846787504662327,0.576530612244898,0.979591836734694,245
"UGA_flucast-INFLAenza",1,0.000714882920296401,0.00110987053320423,0.510204081632653,0.965986394557823,245
"UGA_flucast-INFLAenza",2,0.000814457646031198,0.00128751003897427,0.510204081632653,0.959183673469388,245
"UGA_flucast-INFLAenza",3,0.000855149401376168,0.00137792101545161,0.510204081632653,0.979591836734694,245
